Movie Name,Storyline,Cleaned_Storyline
Who by Fire,"Seventeen-year-old Jeff stays at film director Blake Cadieux's wilderness lodge after being invited by friend Max's family. When strange events occur, Jeff suspects something is amiss with the director and his retreat.",seventeen year old jeff stays film director blake cadieux wilderness lodge invited friend max family strange events occur jeff suspects something amiss director retreat
My Wifes X,"A newly released ex-con seeks revenge on his ex-wife and her new husband. As he pursues his vengeful mission, he remains unaware of a shocking connection between his target and someone closely involved in his release from prison.",newly released ex con seeks revenge ex wife new husband pursues vengeful mission remains unaware shocking connection target someone closely involved release prison
Bosco,"Based on the story of Quawntay 'Bosco"" Adams, sentenced to 35 years for attempted possession of marijuana. With the help of a woman from a lonely-hearts ad, he escapes to see his daughter but is forced to take responsibility for his past.",based story quawntay bosco adams sentenced years attempted possession marijuana help woman lonely hearts ad escapes see daughter forced take responsibility past
Love in the Big City,"Misunderstood as more than friends, roommates Jae-hee and Heung-soo navigate the complexities of modern romance in Seoul's big city.",misunderstood friends roommates jae hee heung soo navigate complexities modern romance seoul big city
Auron Mein Kahan Dum Tha,"After 20 years in prison, a man reunites with his lost love and the truth behind his crimes is revealed.",years prison man reunites lost love truth behind crimes revealed
Dance with the Devil,An easy heist quickly goes wrong for three stuck-up kids who think they have found the perfect target in an old man from the neighborhood.,easy heist quickly goes wrong three stuck kids think found perfect target old man neighborhood
The Painter,"An ex-CIA operative is thrown back into a dangerous world when a mysterious woman from his past resurfaces. Now exposed and targeted by a relentless killer and a rogue black ops program, he must rely on skills he thought he left behind.",ex cia operative thrown back dangerous world mysterious woman past resurfaces exposed targeted relentless killer rogue black ops program must rely skills thought left behind
We Work for the Dead,If you're looking for a unique side hustle and don't mind being possessed...sign up for a delivery service with a dark twist. Your clients? The Dead.,looking unique side hustle mind possessed sign delivery service dark twist clients dead
Body of Water,"A cop returns to duty after being acquitted. He encounters Kevin, whose life derailed after a police incident. Their paths cross, making Austin understand that actions have consequences.",cop returns duty acquitted encounters kevin whose life derailed police incident paths cross making austin understand actions consequences
River of Blood,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.,four kayakers take wrong river jungle inhabited tribe merciless cannibals
Heavier Trip,"Impaled Rektum, a band, is in jail but must escape when the guitarist's father falls ill and their family home/business faces demolition. They receive an offer to play a major festival but decline due to being imprisoned and unprepared.",impaled rektum band jail must escape guitarist father falls ill family home business faces demolition receive offer play major festival decline due imprisoned unprepared
Singham Again,"Bajirao Singham and a team of super cops must rescue his wife, Avni, who is producing a stage play based on the Ramayana, from a villainous kidnapper.",bajirao singham team super cops must rescue wife avni producing stage play based ramayana villainous kidnapper
The Thundermans Return,"It centers on the family as they begin a new era of superhero crimefighting. When one save goes wrong, the Thundermans are sent back to Hiddenville.",centers family begin new era superhero crimefighting one save goes wrong thundermans sent back hiddenville
The Program,"Explores the unprecedented bipartisan congressional effort to uncover what intelligence agencies really know about UFOs, now referred to as UAP.",explores unprecedented bipartisan congressional effort uncover intelligence agencies really know ufos referred uap
Waves,A compromising record can change history.,compromising record change history
Jimmy and Stiggs,"A perfect storm of lousy news sees out-of-work filmmaker Jimmy Lang spiral into a bender, during which he claims to have been abducted by aliens, and fearing their return, he contacts his old friend Stiggs to help him gear up for war.",perfect storm lousy news sees work filmmaker jimmy lang spiral bender claims abducted aliens fearing return contacts old friend stiggs help gear war
I Don't Understand You,"Stranded in rural Italy without transportation or language skills, an American couple on the verge of adopting tries to reconnect during a disastrous vacation, as their fears and relationship problems threaten to boil over.",stranded rural italy without transportation language skills american couple verge adopting tries reconnect disastrous vacation fears relationship problems threaten boil
Viet and Nam,"In the underground coal mines, Nam and Viet, young miners, face danger and darkness. One prepares to leave for a new life, but they must find Nam's father's remains, a soldier lost in a faraway forest, retracing the past through memories.",underground coal mines nam viet young miners face danger darkness one prepares leave new life must find nam father remains soldier lost faraway forest retracing past memories
Maharaj,"Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior.",based real life historic court case bold journalist questions revered leader immoral behavior
The Bitter Taste,"A former pentathlete is captured by an undead countess and her cursed followers. To survive a deadly hunt, she must revive her athletic skills and form an uneasy alliance with a charming fisherman and a grumpy cop.",former pentathlete captured undead countess cursed followers survive deadly hunt must revive athletic skills form uneasy alliance charming fisherman grumpy cop
Freedom,"Inspired by real events, the story of Bruno Sulak, a true Arsène Lupin of the 20th century.",inspired real events story bruno sulak true arsène lupin th century
Or Something,"Tells the story about strangers who show up at the same apartment to collect cash they're both owed. The pair, one of whom is hiding a terrible secret, are sent on a journey across New York City.",tells story strangers show apartment collect cash owed pair one hiding terrible secret sent journey across new york city
Dans l'ombre de Marlow,"In a deceptive desert, Marlow searches desperately for a dream-fulfilling box. As she nears her goal, a startling revelation awaits.",deceptive desert marlow searches desperately dream fulfilling box nears goal startling revelation awaits
Alienoid: The Return to the Future,Ancient Taoists travel through time and space in an effort to obtain a divine sword.,ancient taoists travel time space effort obtain divine sword
A Part of You,"Agnes, a teen envious of her popular older sister Julia, faces upheaval when tragedy strikes. Forced to reinvent herself, she's on the cusp of attaining her dreams but must navigate the consequences of her choices.",agnes teen envious popular older sister julia faces upheaval tragedy strikes forced reinvent cusp attaining dreams must navigate consequences choices
Mafia Wars,An ex-con gets released early from prison only to be forced into an undercover unit of six men and on his first day the other five are all killed. Now he must face the men who he was tasked to spy on.,ex con gets released early prison forced undercover unit six men first day five killed must face men tasked spy
Sons,The idealistic prison officer Eva is faced with the dilemma of her life when a young man from her past gets transferred to the prison where she works.,idealistic prison officer eva faced dilemma life young man past gets transferred prison works
Sugar Baby,"An enterprising Sugar Baby is offered $30,000 to move in with her Sugar Daddy for the week, but soon discovers the sinister secrets trapped within his home.",enterprising sugar baby offered move sugar daddy week soon discovers sinister secrets trapped within home
Grand Tour,"Edward, civil servant, flees fiancée Molly on their wedding day in Rangoon, 1917. His travels replace panic with melancholy. Molly, set on marriage, amused by his escape, trails him across Asia.",edward civil servant flees fiancée molly wedding day rangoon travels replace panic melancholy molly set marriage amused escape trails across asia
Moon,"A former martial artist hired to train three wealthy Jordanian sisters finds her ""dream job"" turning unsettling as the isolated young women are under constant surveillance and show no interest in the sport. Why was she really hired?",former martial artist hired train three wealthy jordanian sisters finds dream job turning unsettling isolated young women constant surveillance show interest sport really hired
Fluxx,Trapped in a surreal Hollywood Hills mansion a tormented actress must piece together memories and escape a nightmarish reality before losing her grip on sanity-and the truth about her husband's fate.,trapped surreal hollywood hills mansion tormented actress must piece together memories escape nightmarish reality losing grip sanity truth husband fate
Drugstore June,"After the pharmacy in her small town is robbed, a girl who still lives at home with her parents takes matters into her own hands to solve the crime, while at the same time trying to get over her ex-boyfriend and become more of an adult.",pharmacy small town robbed girl still lives home parents takes matters hands solve crime time trying get ex boyfriend become adult
Wanted Man,"Follows a police officer who must retrieve an eyewitness and escort her after a cartel shooting leaves several DEA agents dead, but then he must decide who to trust when they discover that the attack was executed by American forces.",follows police officer must retrieve eyewitness escort cartel shooting leaves several dea agents dead must decide trust discover attack executed american forces
Becky,"A pretty, twisted and dangerous woman becomes obsessed with a happily married man who recently moves into the neighbourhood and wreaks havoc in every aspect of the couple's life.",pretty twisted dangerous woman becomes obsessed happily married man recently moves neighbourhood wreaks havoc every aspect couple life
Following,"A mystery thriller about a real estate agent who secretly enters clients' homes and becomes obsessed with a deceptive social media influencer. The film explores themes of obsession, identity and the dark side of social media.",mystery thriller real estate agent secretly enters clients homes becomes obsessed deceptive social media influencer film explores themes obsession identity dark side social media
Held Hostage in My House,A single mother becomes trapped inside her own vacation rental and must piece together clues from the various guests who have stayed there in order to figure out who assaulted her and hopefully survive.,single mother becomes trapped inside vacation rental must piece together clues various guests stayed order figure assaulted hopefully survive
Hold Your Breath,"In 1930s Oklahoma amid the region's horrific dust storms, a woman is convinced that a sinister presence is threatening her family.",oklahoma amid region horrific dust storms woman convinced sinister presence threatening family
Hot Frosty,"Widow Kathy magically brings a snowman to life. His innocence helps her heal and find love again. They bond before the holidays, but he's doomed to melt.",widow kathy magically brings snowman life innocence helps heal find love bond holidays doomed melt
Black Cab,"A couple's jovial cab driver diverts them to a remote, haunted road, revealing disturbing motives and his true intentions.",couple jovial cab driver diverts remote haunted road revealing disturbing motives true intentions
Mai,"Restlessly haunted by the past, Mai is greeted by a new dawn when she reluctantly befriends the neighborhood ladies' man. But when her yesterday catches up to her today, what will become of her tomorrow?",restlessly haunted past mai greeted new dawn reluctantly befriends neighborhood ladies man yesterday catches today become tomorrow
